NID,Time,EventName,DisasterType,Lon,Lat,C_Name,T_Name,Address,situation,TOWN_ID
104380,2016-7-8 23:31,尼伯特颱風,roadbed loss,120.394983,23.083364,臺南市,山上區,臺南市山上區玉?里,因豪雨造成農路有一處30*50公分破洞。,6702200
104410,2016-7-8 21:56,尼伯特颱風,slope slump,121.240134,22.980742,臺東縣,東河鄉,臺東縣東河鄉,東23線9.6k處,1001407
104426,2016-7-8 21:16,尼伯特颱風,roadbed loss,121.215677,24.082495,南投縣,仁愛鄉,南投縣仁愛鄉合作村,1.合作村第四鄰大排水管排水處大水沖刷村民農地，造成土地流失。 2.合作村龍岸農路3.5公里處土石崩塌，上方村民農地下陷、debris flow失。 3.合作村龍岸農路300公尺處路基掏空，影響行車安全。 4.合作村三號便橋遭河水滅頂、毀損。,1000813
104438,2016-7-8 21:03,尼伯特颱風,slope slump,121.151648,24.053988,南投縣,仁愛鄉,南投縣仁愛鄉大同村,投89線49k處落石坍方道路中斷,1000813
103967,2016-7-8 18:46,尼伯特颱風,slope slump,121.115439,22.856564,臺東縣,卑南鄉,臺東縣卑南鄉明峰村試驗場8號,1999轉報:距離原生應園植物園出入口後50公尺，路口坍方、路樹倒塌、電線桿傾斜,1001404
104008,2016-7-8 18:14,尼伯特颱風,road blockage,120.730783,23.655666,南投縣,竹山鎮,南投縣竹山鎮大鞍里三層坪農路,大鞍里三層坪農路路面大石與邊坡落石，影響周圍住戶交通聯繫與安全。,1000804
104017,2016-7-8 18:07,尼伯特颱風,roadbed loss,120.265375,23.797394,雲林縣,麥寮鄉,雲林縣麥寮鄉仁德西路一段,路基掏空,1000913
104560,2016-7-8 18:07,尼伯特颱風,slope slump,120.314168,22.967603,臺南市,歸仁區,臺南市歸仁區歸仁里,中山路一段2巷底一貫道道場後臨水庫旁排水溝路面塌陷，本所已派員先行放置警戒標示,6702800
104034,2016-7-8 18:00,尼伯特颱風,roadbed loss,120.265375,23.797394,雲林縣,麥寮鄉,雲林縣麥寮鄉三盛村仁德西路一段,路基掏空,1000913
104057,2016-7-8 17:40,尼伯特颱風,roadbed loss,121.5484,25.03123,臺北市,大安區,敦化南路二段48號頂好前面,路面有一個長寬約30*15公分，深度15公分的坑洞,6300300
104304,2016-7-8 15:39,尼伯特颱風,slope slump,121.298022,23.203727,花蓮縣,富里鄉,富里鄉羅山村1鄰136號,報案人：柯先生  電話：0989-701201 反映事項：家裡出入道路因rock fall影響通行且停電。 1600時建設處人員以通知鄉公所，鄉公所建設課課長表示已與陳情人聯繫，預定明早前往搶修完成。 1650時台電人員表示，配合公所，道路可通行即派員搶修。  ==================== 富里鄉羅山村1鄰136號出入道路因rock fall影響通行，且有停電 ,1001510
104338,2016-7-8 15:08,尼伯特颱風,slope slump,120.4601,23.350447,臺南市,白河區,臺南市白河區,竹門大排邊坡塌陷,6700300
103882,2016-7-8 14:57,尼伯特颱風,rock fall,120.792446,22.12943,屏東縣,牡丹鄉,屏東縣牡丹鄉石門村,石門村古戰場牡丹鄉牌樓入口處附近，有些許落石崩落，路面有碎石,1001333
103793,2016-7-8 14:34,尼伯特颱風,road blockage,121.371534,24.80637,桃園市,復興區,桃園市復興區霞雲里,台112線1公里處，因道路落石，僅能單向通車,6801300
103317,2016-7-8 13:45,尼伯特颱風,debris flow,120.951047,24.777663,新竹市,香山區,新竹市香山區香檳二街及三街交叉口,東香里香檳二街及三街交叉口右側土石滑落 沒有立即危險,1001803
103326,2016-7-8 13:41,尼伯特颱風,rock fall,120.64053,22.819902,屏東縣,三地門鄉,屏東縣三地門鄉青山村,土石掉落造成排水溝堵塞(一)2016:07:08 13:59屏東縣政府水利處洪瑞杉本案應屬鄉公所權責，非屬水利處權責。(二)2016:07:08 14:14屏東縣政府警察局黃富楨已通報里港分局勤指中心派員處理  ,1001326
103361,2016-7-8 13:25,尼伯特颱風,road blockage,120.802942,22.748021,屏東縣,霧臺鄉,屏東縣霧臺鄉,1.台24線35K處落石導致交通雙向不通2.38K處落石(一)2016:07:08 14:16屏東縣政府警察局黃富楨已通報里港分局勤指中心派員處理(二)2016:07:08  14:43屏東縣政府工務處蕭瑞文台24線為三工處權責(三)2016:07:08 14:50交通部公路總局第三區養護工程處黃明雄1447回報工務段請派員處理   ,1001327
103365,2016-7-8 13:24,尼伯特颱風,road blockage,121.282099,24.5963,新竹縣,尖石鄉,新竹縣尖石鄉,竹60線約23k處落石掉落路中間,1000412
103511,2016-7-8 12:50,尼伯特颱風,rock fall,121.190441,23.029696,臺東縣,關山鎮,臺東縣關山鎮電光里東興75號,電光里17鄰往自然村方向道路被土石阻斷，自然村內斷水斷電，4戶約十幾人。,1001403
103924,2016-7-8 12:32,尼伯特颱風,roadbed loss,121.5254,25.05571,臺北市,中山區,林森北路286號前的人行道上,40公分X40公分坑洞,6300400
103586,2016-7-8 12:32,尼伯特颱風,road blockage,120.245364,22.973562,臺南市,仁德區,臺南市仁德區中山路782號空地,中山路782號空地黃土流淹路面,6702700
103931,2016-7-8 11:40,尼伯特颱風,roadbed loss,121.5256,25.05568,臺北市,中山區,林森北路300號林森北路300~320號之間有一間康是美店家前方人行道公車站牌旁,人行道上有個大洞(比籃球還大一些) ,6300400
102249,2016-7-8 11:34,尼伯特颱風,rock fall,121.292524,24.872871,桃園市,大溪區,桃園市大溪區仁義里--坡地災害, ,6800300
102404,2016-7-8 10:50,尼伯特颱風,slope slump,121.402956,24.689066,桃園市,復興區,桃園市復興區華陵里,近卡拉部落禱告山部落,6801300
102588,2016-7-8 10:12,尼伯特颱風,rock fall,121.295422,24.921527,桃園市,大溪區,桃園市大溪區介壽路83巷28弄,依據民眾通報，此附近地區發生debris flow造成淹水，急需抽水處理。,6800300
103748,2016-7-8 10:12,尼伯特颱風,rock fall,121.295422,24.921527,桃園市,大溪區,桃園市大溪區介壽路83巷28弄,"  ==================== 依據民眾通報，此附近地區發生debris flow造成淹水，急需抽水處理。於7月8日 11時45分與報案人鄭小姐聯繫,該處屬戶外坡地,離附近住宅有一段距離,住宅無淹水情形.本案已由水務局派員前往處理. ",6800300
102602,2016-7-8 10:08,尼伯特颱風,rock fall,121.298022,23.203727,花蓮縣,富里鄉,花蓮縣富里鄉羅山村1鄰136號,花蓮縣富里鄉羅山村1鄰136號羅山神亭附近土石滑落。 07081620時，鄉公所人員回報處理完成。,1001510
102850,2016-7-8 09:04,尼伯特颱風,debris flow,121.178186,23.053806,臺東縣,關山鎮,臺東縣關山鎮,里?里隆興部落土地公廟旁rock fall影響交通,1001403
102853,2016-7-8 09:04,尼伯特颱風,rock fall,120.75987,24.208592,臺中市,北屯區,臺中市北屯區大坑里大湖巷8號,產業道路落石崩塌,6600800
102897,2016-7-8 08:56,尼伯特颱風,rock fall,121.304984,23.268434,花蓮縣,富里鄉,花蓮縣富里鄉299k,台九線299k處落石坍方。 07081620時，鄉公所人員回報處理完成。,1001510
102968,2016-7-8 08:31,尼伯特颱風,rock fall,121.230103,23.119097,臺東縣,池上鄉,台東縣池上鄉慶豐村慶豐8號,"2016/07/08 08:31:41 - 報案人表示,房屋後方的山坡有debris flow,石頭拌隨泥水流下,面積不會很大,目前屋內人員是安全的.",1001406
103081,2016-7-8 08:04,尼伯特颱風,road blockage,121.240568,23.183801,花蓮縣,卓溪鄉,花蓮縣卓溪鄉古風村,石平部落往大肚方向(崙天)道路旁持續落石,1001513
102114,2016-7-8 06:45,尼伯特颱風,debris flow,121.517076,24.094354,花蓮縣,秀林鄉,花蓮縣秀林鄉,依據水保局第6報單，本縣秀林鄉27條、豐濱鄉16條、光復鄉18條、鳳林鎮9條、卓溪鄉15條、瑞穗9條、萬榮鄉12條、玉里鎮24條、富里鄉8條，共計138條，處於黃色警戒區域,1001511
104845,2016-7-8 06:00,尼伯特颱風,rock fall,121.152806,22.914917,臺東縣,延平鄉,臺東縣延平鄉鸞山村4鄰1號,經獲王勇生村長通報，鸞山村往梅山部落之聯繫道路有rock fall並有路樹倒塌情形，人員車輛難以通過。,1001413
104846,2016-7-8 05:30,尼伯特颱風,rock fall,121.084767,22.90565,臺東縣,延平鄉,臺東縣延平鄉桃源村11鄰昇平路190號之1,桃源村往二層坪、三層坪之農業道路，rock fall並有路樹倒塌情形，人車難以通行。,1001413
101738,2016-7-7 19:17,尼伯特颱風,slope slump,121.34867,24.739361,桃園市,復興區,桃園市復興區高義里,7/7 21:23分已雙向搶通完畢。,6801300
103187,2016-7-7 19:17,尼伯特颱風,slope slump,121.3505,24.720512,桃園市,復興區,桃園市復興區高義里,台七線32.9k土石坍方雙向無法通行。,6801300
101776,2016-7-7 16:17,尼伯特颱風,roadbed loss,121.5755,24.99973,臺北市,文山區,木柵路四段157-1號,表示有二處坑洞該址相隔約10公尺往文山方向也有一坑洞請一併查處,6300800
101818,2016-7-7 12:08,尼伯特颱風,roadbed loss,121.5724,25.0808,臺北市,內湖區,內湖路一段388號後面公車站牌附近,柏油路面有2-3個手掌大小坑洞,6301000
101821,2016-7-7 11:58,尼伯特颱風,roadbed loss,121.5711,25.08126,臺北市,內湖區,內湖路一段362號加油站外圍 慢車道中間,90CM直徑寬大小 深度不清楚的坑洞,6301000
101822,2016-7-7 11:51,尼伯特颱風,roadbed loss,121.5686,25.08178,臺北市,內湖區,內湖路一段296號的前方，快車道中間,有一個約人孔蓋大，深約3至4公分深的坑洞,6301000
101853,2016-7-7 10:00,尼伯特颱風,roadbed loss,121.5681,25.08255,臺北市,內湖區,內湖路一段323巷1弄2號前方,道路上有約十公分的坑洞，疑似roadbed loss,6301000
101855,2016-7-7 09:46,尼伯特颱風,roadbed loss,121.6078,25.07173,臺北市,內湖區,康寧路三段26巷12號前方，頂好前面，路面,有長條形(長寬深不明)類似裂痕形狀的坑洞 ,6301000
101857,2016-7-7 09:44,尼伯特颱風,roadbed loss,121.5524,25.06008,臺北市,松山區,富錦街107巷1弄12號12號前方水溝旁道路,路面掏空下陷，面積約長50公分寬30公分下陷深度約30公分，敬請相關單位盡快派人處理。,6300100
101861,2016-7-7 09:30,尼伯特颱風,roadbed loss,121.5267,25.02213,臺北市,大安區,"交叉路口:  羅斯福路 , 浦城街，在羅斯福路上，往北方向，中間車道上，剛好在交叉口的位置",上述地點有一個坑洞，有人經過有摔倒，昨天有發生過車禍，目前有用交通錐圍住，但是今天機車來不及反應，煞車又滑倒,6300300
